number;ADM2_PCODE;Population;Kazakhs;ADM2_EN;ADM2_KK;ADM2_RU;ISO_3166_2;Area;Male;Female;Percentage_of_Kazakhs;color;difference
1;KZ101000;331040;244379;Semey;Семей;Семей;KZ-ABY1;210;158 728;172 133;74%;1;2 435
2;KZ101010;;;Zharasemey;Жа?асемей;Жанасемейский;KZ-ABY1;27100;;;;;
3;KZ101800;10253;6181;Kurchatov;Курчатов;Курчатов;KZ-ABY1;110;5 050;5 296;60%;1;76
4;KZ103200;13793;13629;Abay;Абай;Абайский;KZ-ABY1;20093;6 953;6 869;99%;1;93
5;KZ103400;19195;19231;Aqsuat;А?суат;Аксуатский;KZ-ABY1;13600;9 930;9 402;100%;1;210
6;KZ103600;65270;63082;Ayagoz;Аяг?з;Аягозский;KZ-ABY1;49500;32 940;32 489;97%;1;823
7;KZ103800;17516;12673;Beskaragay;Бес?ара?ай;Бескарагайский;KZ-ABY1;11400;8 768;8 844;72%;1;29
8;KZ104000;32540;13974;Borodulikha;Бородулиха;Бородулихинский;KZ-ABY1;6989;16 058;16 589;43%;1;-10
9;KZ104200;35356;32607;Zharma;Жарма;Жарминский;KZ-ABY1;22600;18 023;17 617;92%;1;263
10;KZ104400;13345;11291;Kokpekti;К?кпекті;Кокпектинский;KZ-ABY1;9100;6 854;6 562;85%;1;100
11;KZ104500;;;Maqanshy;Ма?аншы;Маканчинский;KZ-ABY1;9200;;;;;
12;KZ104600;68219;63060;Urzhar;?ржар;Урджарский;KZ-ABY1;14300;34 620;33 864;92%;1;513
13;KZ111000;194000;120718;Kokshetau;К?кшетау;Кокшетау;KZ-AKM1;400;91 959;101 532;62%;1;1 678
14;KZ111600;56818;50 782;Kosshy;?осшы;Косшы;KZ-AKM1;24;25 656;30 195;89%;1;552
15;KZ111800;67578;30 742;Stepnogorsk;Степногор;Степногорск;KZ-AKM1;2900;32 508;34 988;45%;1;117
16;KZ113200;23526;10 710;Akkol;А?к?л;Аккольский;KZ-AKM1;8300;11 888;11 836;46%;1;47
17;KZ113400;25317;10 958;Arshaly;Аршалы;Aршалинский;KZ-AKM1;5800;12 766;12 156;43%;1;95
18;KZ113600;19295;8 343;Astrakhan;Астрахан;Астраханский;KZ-AKM1;7400;9 720;9 738;43%;1;56
19;KZ113800;42524;16 551;Atbasar;Атбасар;Атбасарский;KZ-AKM1;10600;21 549;21 283;39%;1;183
20;KZ114000;28974;12 204;Bulandy;Б?ланды;Буландынский;KZ-AKM1;5100;14 346;14 693;42%;1;150
21;KZ114400;5130;2 362;Egindykol;Егіндік?л;Егиндыкольский;KZ-AKM1;5400;2 648;2 508;46%;1;68
22;KZ114500;12898;8 732;Birzhansal;Біржансал;Биржансал;KZ-AKM1;11000;6 524;6 458;68%;1;32
23;KZ114600;25342;17 269;Ereymentau;Ерейментау;Ерейментауский;KZ-AKM1;17700;12 952;12 586;68%;1;41
24;KZ114800;20244;6 915;Esil;Есіл;Есильский;KZ-AKM1;8000;9 950;10 415;34%;2;174
25;KZ115200;15655;7 741;Zhaksy;Жа?сы;Жаксынский;KZ-AKM1;9700;7 996;7 745;49%;1;0
26;KZ115400;12273;5 853;Zharkain;Жар?айы?;Жаркаинский;KZ-AKM1;12100;6 227;6 156;48%;1;115
27;KZ115600;34504;23 140;Zerendi;Зеренді;Зерендинский;KZ-AKM1;7800;17 695;16 879;67%;1;33
28;KZ116000;6971;6 205;Korgalzhyn;?ор?алжын;Коргалжынский;KZ-AKM1;9300;3 716;3 342;89%;1;100
29;KZ116400;16704;3 850;Sandyktau;Санды?тау;Сандыктауский;KZ-AKM1;6400;8 252;8 530;23%;2;99
30;KZ116600;82958;58 152;Tselinograd;Целиноград;Целиноградский;KZ-AKM1;7900;41 640;40 842;70%;1;-45
31;KZ116800;26988;12 431;Shortandy;Шортанды;Шортандинский;KZ-AKM1;4700;13 599;13 517;46%;1;823
32;KZ117000;70819;31 989;Burabay;Бурабай;Бурабайский;KZ-AKM1;5900;34 359;36 627;45%;1;86
33;KZ151000;573132;475 291;Aktobe;А?т?бе;Актобе;KZ-AKT1;230;274 045;296 430;83%;1;8 079
34;KZ153200;43736;36 848;Alga;Ал?а;Алгинский;KZ-AKT1;7300;21 857;21 857;84%;1;603
35;KZ153400;20602;19 389;Aytekebi;?йтекеби;Айтекебийский;KZ-AKT1;35900;10 710;9 922;94%;1;318
36;KZ153600;22920;22 860;Bayganin;Бай?анин;Байганинский;KZ-AKT1;61000;11 836;11 104;100%;1;413
37;KZ154000;15416;9 839;Kargaly;?ар?алы;Каргалинский;KZ-AKT1;5000;7 765;7 668;64%;1;103
38;KZ154200;15904;13 161;Khobda;?обда;Хобдинский;KZ-AKT1;14000;8 238;7 736;83%;1;178
39;KZ154600;29674;20 480;Martuk;М?рт?к;Мартукский;KZ-AKT1;6600;14 931;14 786;69%;1;228
40;KZ154800;65714;60 913;Mugalzhar;М??алжар;Мугалжарский;KZ-AKT1;27900;32 946;32 837;93%;1;1 090
41;KZ155200;16013;15 928;Oiyl;Ойыл;Уилский;KZ-AKT1;11500;8 426;7 662;99%;1;243
42;KZ155600;35674;34 486;Temir;Темір;Темирский;KZ-AKT1;12600;18 304;17 457;97%;1;602
43;KZ156000;46680;38 157;Khromtau;Хромтау;Хромтауский;KZ-AKT1;12000;23 301;23 296;82%;1;549
44;KZ156400;42370;41 929;Shalkar;Шал?ар;Шалкарский;KZ-AKT1;61000;21 538;20 824;99%;1;740
45;KZ156800;13930;13 878;Yrgyz;Ыр?ыз;Иргизский;KZ-AKT1;41500;7 262;6 667;100%;1;258
46;KZ191000;71799;49 291;Konaiev;?онаев;Конаев;KZ-ALM1;56;35 813;35 868;69%;1;821
47;KZ191800;;;Alatau;Алатау;Алатау;KZ-ALM1;890;;;;;
49;KZ193600;28305;26 316;Balkhash;Бал?аш;Балхашский;KZ-ALM1;37400;14 583;13 878;93%;1;353
50;KZ194000;285186;170 715;Enbekshikazakh;Е?бекші?аза?;Енбекшиказахский;KZ-ALM1;8300;143 062;142 270;60%;1;4 048
51;KZ194200;169540;145 322;Zhambyl;Жамбыл;Жамбылский;KZ-ALM1;19300;85 776;83 573;86%;1;3 028
52;KZ194400;27358;27 167;Kegen;Кеген;Кегенский;KZ-ALM1;7103;14 417;13 246;99%;1;358
53;KZ195200;342059;272 200;Karasay;?арасай;Карасайский;KZ-ALM1;2000;167 881;170 174;80%;1;6 383
54;KZ195800;28193;27 904;Raiymbek;Райымбек;Райымбекский;KZ-ALM1;7119;15 088;13 392;99%;1;410
55;KZ196200;248450;168 414;Talgar;Тал?ар;Талгарский;KZ-ALM1;3700;121 421;124 951;68%;1;3 442
57;KZ196600;62454;26 259;Uygur;?й?ыр;Уйгурский;KZ-ALM1;8700;32 360;30 424;42%;1;810
58;KZ196800;274530;203 566;Ile;Іле;Илийский;KZ-ALM1;7800;135 444;137 546;74%;1;4 624
59;KZ231000;414840;367 643;Atyrau;Атырау;Атырау;KZ-ATY1;458;200 214;212 058;89%;1;7 778
60;KZ233600;87121;85 514;Zhylyoi;Жылыой;Жылыойский;KZ-ATY1;29400;43 446;43 426;98%;1;1 803
61;KZ234000;32766;31 934;Inder;Индер;Индерский;KZ-ATY1;10900;16 712;16 087;97%;1;586
62;KZ234200;26362;26 301;Isatay;Исатай;Исатайский;KZ-ATY1;14700;13 584;12 789;100%;1;436
63;KZ234600;55906;54 895;Kurmangazy;??рман?азы;Курмангазинский;KZ-ATY1;20900;28 613;27 395;98%;1;819
64;KZ234800;30833;30 822;Kyzylkoga;?ызыл?о?а;Кзылкогинский;KZ-ATY1;20600;15 850;15 019;100%;1;575
65;KZ235200;29689;29 160;Makat;Ма?ат;Макатский;KZ-ATY1;9100;14 791;14 880;98%;1;546
66;KZ235600;29194;28 516;Makhambet;Махамбет;Махамбетский;KZ-ATY1;9600;14 646;14 564;98%;1;508
67;KZ271000;363453;262 643;Uralsk;Орал;Уральск;KZ-ZAP1;700;171 948;189 992;72%;1;3 490
68;KZ273200;35521;34 287;Akzhaik;А?жайы?;Акжаикский;KZ-ZAP1;25700;18 244;17 447;97%;1;387
69;KZ273600;57966;43 070;Burli;Б?рлі;Бурлинский;KZ-ZAP1;5600;28 334;29 663;74%;1;141
70;KZ274000;21639;21 322;Zhanakala;Жа?а?ала;Жангалинский;KZ-ZAP1;20800;11 136;10 584;99%;1;475
71;KZ274200;14303;14 053;Zhanybek;Ж?нібек;Жанибекский;KZ-ZAP1;8200;7 217;7 109;98%;1;360
72;KZ274400;61237;39 542;Baiterek;Б?йтерек;Байтерек;KZ-ZAP1;7400;30 493;30 588;65%;1;145
73;KZ274800;27077;26 814;Kaztalovka;Казталовка;Казталовский;KZ-ZAP1;18600;14 009;13 217;99%;1;264
74;KZ275000;13434;13 442;Karatobe;?арат?бе;Каратобеский;KZ-ZAP1;10000;7 035;6 462;100%;1;319
75;KZ275400;14276;14 214;Bokeyorda;Б?кейордасы;Бокейординский;KZ-ZAP1;19200;7 417;6 927;100%;1;186
76;KZ275800;17156;16 931;Syrym;Сырым;Сырымский;KZ-ZAP1;11900;8 918;8 284;99%;1;215
77;KZ276000;16183;14 556;Taskala;Тас?ала;Таскалинский;KZ-ZAP1;8100;8 145;8 089;90%;1;155
78;KZ276200;38935;33 057;Terekti;Теректі;Теректинский;KZ-ZAP1;8000;19 681;19 371;85%;1;339
79;KZ276600;12901;11 216;Chingirlau;Шы??ырлау;Чингирлауский;KZ-ZAP1;7200;6 548;6 403;87%;1;102
